Type,Source,URL,Notes
Tracker,KFF — America First MOU Bilateral Global Health Agreements Tracker,https://www.kff.org/global-health-policy/kff-tracker-america-first-mou-bilateral-global-health-agreements/,Amounts for all 34 countries; program areas; dates
Tracker,Public Citizen — U.S. Bilateral Health Agreements & CASE Act reporting,https://www.citizen.org/article/u-s-bilateral-health-agreements-case-act-reporting/,Hosts 6 full MoU texts + specimen-sharing agreements
Tracker,Think Global Health — BUILD tracker of America First bilateral health agreements,https://www.thinkglobalhealth.org/article/tracking-the-america-first-bilateral-health-agreements,"Hosts Cameroon, Cote d'Ivoire, South Sudan (draft) texts; availability matrix"
Mirror,Human Rights Watch — 2025-2026 US bilateral health agreements assessment,https://www.hrw.org/2025-2026-us-bilateral-health-agreements,Mirrors 7 MoU texts
Source doc,Health Policy Watch — US-Liberia MOU 2025,https://healthpolicy-watch.news/wp-content/uploads/2025/12/US-Liberia-MOU-2025.pdf,Liberia full text
Draft,Think Global Health — South Sudan draft MOU (April 2026),https://build.thinkglobalhealth.org/wp-content/uploads/2026/07/South-Sudan-draft-MOU-April-2026.pdf,Pre-signature draft; agreement signed 25 Jun 2026
Source doc,"U.S. State Department FOIA production FL-2026-00021 (released 6 Aug 2026, published by Public Citizen 30 Aug 2026)",https://www.citizen.org/article/u-s-bilateral-health-agreements-case-act-reporting/,"Full texts for Rwanda, Liberia, Lesotho, Eswatini, Cameroon, Sierra Leone, Botswana, Madagascar, Cote d'Ivoire and Burundi, obtained under Public Citizen's FOIA requests (caret ^ on the Public Citizen table)"
Source doc,U.S. State Department Case Act reporting page,https://www.state.gov/,"Route by which Kenya, Uganda, Mozambique, Nigeria, Ethiopia and Malawi texts were published by the U.S. government itself (asterisk * on the Public Citizen table), together with most of the specimen sharing agreements"
Source doc,"Public Citizen — Malawi MOU (Case Act text, 13 Jan 2026)",https://www.citizen.org/wp-content/uploads/2026-0015QN-Malawi-1.13.2026.pdf,Malawi full text
Litigation,Public Citizen v. U.S. Department of State — FOIA suit over the bilateral health agreements,https://www.citizen.org/article/u-s-bilateral-health-agreements-case-act-reporting/,The suit that produced the August 2026 release; covered by the Washington Post
Reference doc,AFGHS Metrics Guide,https://www.citizen.org/wp-content/uploads/Metrics_Guide_05.pdf,America First Global Health Strategy implementation guidance on metrics - directly relevant to reading the Section 1 indicator tables
Reference doc,AFGHS Performance Based Approaches,https://www.citizen.org/wp-content/uploads/Performance_Based_Approaches_05.pdf,Implementation guidance on performance-based funding
Reference doc,AFGHS U.S. Government Operations Guidance,https://www.citizen.org/wp-content/uploads/USG-Operations-Guidance_05.pdf,Implementation guidance; context for the 6% management-and-operations carve-out
Reference doc,GHP financial classifications,https://www.citizen.org/wp-content/uploads/GHP_Financial_Classifications_V1.pdf,Global Health Programs financial classification scheme behind the Appendix 1 budget categories
Reference doc,Template MOU (AFGHS),https://www.citizen.org/wp-content/uploads/Template-MoU-AFGHS.pdf,The template every country MOU is built from - explains why the appendix structures are near-identical
Reference doc,Template MOU guidance (AFGHS),https://www.citizen.org/wp-content/uploads/Template-MoU-AFGHS-Guidance.pdf,Drafting guidance accompanying the template
Reference doc,MOU Implementation Plan Template / Companion Tool / Process Overview,https://www.citizen.org/wp-content/uploads/Implementation-plan_To_End_A_Plague_Again_Afgs_Template_1.pdf,The 90-day implementation plans every MOU commits to producing
Reference doc,CDC Management & Programmatic Services fee schedule (May 2026),https://www.citizen.org/wp-content/uploads/CDC_Management_Programmatic_Services_Schedule_May-2026.pdf,Unit costs behind U.S. technical assistance lines
Reference doc,Census Bureau fee schedule (May 2026),https://www.citizen.org/wp-content/uploads/Census_Bureau_Fee_Schedule_May-2026.pdf,Unit costs for survey and data collection support
